,Price(€/MWh),Load(MW)
2015-01-01 00:00:00,36.56,39127.49
2015-01-01 01:00:00,34.94,36046.63
2015-01-01 02:00:00,32.19,34431.16
2015-01-01 03:00:00,28.05,33846.67
2015-01-01 04:00:00,28.04,33998.48
2015-01-01 05:00:00,34.26,35520.2
2015-01-01 06:00:00,37.8,39978.01
2015-01-01 07:00:00,50.38,47527.68
2015-01-01 08:00:00,50.97,52959.57
2015-01-01 09:00:00,41.51,55268.13
2015-01-01 10:00:00,40.46,56289.66
2015-01-01 11:00:00,42.0,56727.9
2015-01-01 12:00:00,40.72,56144.130000000005
2015-01-01 13:00:00,41.92,56054.05
2015-01-01 14:00:00,42.0,55664.44
2015-01-01 15:00:00,43.1,55578.72
2015-01-01 16:00:00,46.7,57727.09
2015-01-01 17:00:00,56.78,60780.74
2015-01-01 18:00:00,58.84,58922.04
2015-01-01 19:00:00,49.23,56779.55
2015-01-01 20:00:00,44.32,54135.19
2015-01-01 21:00:00,40.0,50643.17
2015-01-01 22:00:00,41.78,46739.42
2015-01-01 23:00:00,38.6,42806.17
2015-01-02 00:00:00,36.9,38803.979999999996
2015-01-02 01:00:00,35.04,35996.69
2015-01-02 02:00:00,34.5,34511.75
2015-01-02 03:00:00,33.47,33904.85
2015-01-02 04:00:00,33.97,33995.66
2015-01-02 05:00:00,36.02,35472.48
2015-01-02 06:00:00,39.96,39964.1
2015-01-02 07:00:00,42.66,47191.15
2015-01-02 08:00:00,44.94,52743.03
2015-01-02 09:00:00,50.87,55596.26
2015-01-02 10:00:00,50.86,56926.91
2015-01-02 11:00:00,50.17,57253.34
2015-01-02 12:00:00,47.97,56516.04
2015-01-02 13:00:00,45.2,55848.02
2015-01-02 14:00:00,41.45,55103.61
2015-01-02 15:00:00,40.08,54549.229999999996
2015-01-02 16:00:00,43.62,56402.31
2015-01-02 17:00:00,48.55,59911.67
2015-01-02 18:00:00,45.71,58086.72
2015-01-02 19:00:00,39.94,55491.52
2015-01-02 20:00:00,44.94,52618.86
2015-01-02 21:00:00,42.51,49320.350000000006
2015-01-02 22:00:00,44.0,45821.21
2015-01-02 23:00:00,39.94,42416.63
2015-01-03 00:00:00,36.11,38704.58
2015-01-03 01:00:00,34.31,35702.93
2015-01-03 02:00:00,32.55,34017.69
2015-01-03 03:00:00,32.08,33246.06
2015-01-03 04:00:00,29.48,33129.99
2015-01-03 05:00:00,34.94,33860.89
2015-01-03 06:00:00,35.78,36084.43
2015-01-03 07:00:00,45.98,39991.96
2015-01-03 08:00:00,47.91,44851.81
2015-01-03 09:00:00,48.91,49255.21
2015-01-03 10:00:00,50.0,51798.29
2015-01-03 11:00:00,51.22,52673.43
2015-01-03 12:00:00,50.15,52624.42
2015-01-03 13:00:00,51.46,51926.880000000005
2015-01-03 14:00:00,50.88,51264.54
2015-01-03 15:00:00,48.0,51050.53
2015-01-03 16:00:00,47.14,53404.72
2015-01-03 17:00:00,51.07,56839.41
2015-01-03 18:00:00,47.42,55612.21
2015-01-03 19:00:00,44.83,53466.86
2015-01-03 20:00:00,39.1,50709.12
2015-01-03 21:00:00,42.0,47428.61
2015-01-03 22:00:00,37.92,44723.65
2015-01-03 23:00:00,33.51,41258.630000000005
2015-01-04 00:00:00,33.11,38220.96
2015-01-04 01:00:00,32.32,35369.81
2015-01-04 02:00:00,31.1,33646.29
2015-01-04 03:00:00,30.17,32826.13
2015-01-04 04:00:00,24.54,32668.739999999998
2015-01-04 05:00:00,32.0,33039.81
2015-01-04 06:00:00,38.81,34148.84
2015-01-04 07:00:00,42.44,36396.08
2015-01-04 08:00:00,45.55,39698.51
2015-01-04 09:00:00,48.75,42787.270000000004
2015-01-04 10:00:00,49.29,45261.6
