,Price,Day-ahead Total Load Forecast
2015-01-05 00:00:00,36.56,37164.35
2015-01-05 01:00:00,34.94,34713.39
2015-01-05 02:00:00,32.19,33610.39
2015-01-05 03:00:00,28.05,33239.95
2015-01-05 04:00:00,28.04,33615.66
2015-01-05 05:00:00,34.26,35581.11
2015-01-05 06:00:00,37.8,40780.68
2015-01-05 07:00:00,50.38,48711.0
2015-01-05 08:00:00,50.97,55397.38
2015-01-05 09:00:00,41.51,58313.479999999996
2015-01-05 10:00:00,40.46,59225.490000000005
2015-01-05 11:00:00,42.0,59597.05
2015-01-05 12:00:00,40.72,59047.97
2015-01-05 13:00:00,41.92,58997.68
2015-01-05 14:00:00,42.0,58475.29
2015-01-05 15:00:00,43.1,58359.24
2015-01-05 16:00:00,46.7,60634.46
2015-01-05 17:00:00,56.78,64087.46
2015-01-05 18:00:00,58.84,61341.7
2015-01-05 19:00:00,49.23,59022.99
2015-01-05 20:00:00,44.32,55678.15
2015-01-05 21:00:00,40.0,51904.25
2015-01-05 22:00:00,41.78,47543.11
2015-01-05 23:00:00,38.6,43247.3
2015-01-06 00:00:00,36.9,39028.14
2015-01-06 01:00:00,35.04,36163.76
2015-01-06 02:00:00,34.5,34770.72
2015-01-06 03:00:00,33.47,34167.64
2015-01-06 04:00:00,33.97,34358.7
2015-01-06 05:00:00,36.02,36092.729999999996
2015-01-06 06:00:00,39.96,41024.84
2015-01-06 07:00:00,42.66,48761.66
2015-01-06 08:00:00,44.94,55221.7
2015-01-06 09:00:00,50.87,57789.57
2015-01-06 10:00:00,50.86,58638.09
2015-01-06 11:00:00,50.17,58665.99
2015-01-06 12:00:00,47.97,57923.380000000005
2015-01-06 13:00:00,45.2,57910.8
2015-01-06 14:00:00,41.45,57710.61
2015-01-06 15:00:00,40.08,57585.41
2015-01-06 16:00:00,43.62,59536.58
2015-01-06 17:00:00,48.55,63380.4
2015-01-06 18:00:00,45.71,61030.33
2015-01-06 19:00:00,39.94,58839.8
2015-01-06 20:00:00,44.94,55717.7
2015-01-06 21:00:00,42.51,51928.16
2015-01-06 22:00:00,44.0,47626.28
2015-01-06 23:00:00,39.94,43390.380000000005
2015-01-07 00:00:00,36.11,39011.32
2015-01-07 01:00:00,34.31,35910.22
2015-01-07 02:00:00,32.55,34388.63
2015-01-07 03:00:00,32.08,33748.04
2015-01-07 04:00:00,29.48,33905.82
2015-01-07 05:00:00,34.94,35568.5
2015-01-07 06:00:00,35.78,40233.57
2015-01-07 07:00:00,45.98,47651.89
